"English","italiano";
"Ammo magazine for the Assault Rifle. It is automatically used when reloading, if stored in backpack.","Magazzino Ammo per il fucile d'assalto. Viene utilizzato automaticamente quando si ricarica, se conservato nello zaino.";
"Magnalium","Magnalio";
"An alloy with high strength, workability and low density commonly used in various vehicles types.","Una lega con alta resistenza, lavorabilità e bassa densità comunemente utilizzata in vari tipi di veicoli.";
"Frenzy","Frenesia";
"Advanced compound created to increase your health and stamina.","Composto avanzato creato per aumentare la tua salute e la tua resistenza.";
"Aluminum","Alluminio";
"A low-density metal that is highly conductive and resist to corrosion.","Un metallo a bassa densità che è altamente conduttivo e resistente alla corrosione.";
"Dymalloy","Dymalloy.";
"Conductive alloy used for high-powered electronics.","Lega conduttiva utilizzata per elettronica ad alta potenza.";
"Carrot","Carota";
"Nutritious vegetable to replenish hunger. Can be eaten while equipped or straight from storage.","Verdura nutriente per ricostituire la fame. Può essere mangiato mentre equipaggiato o direttamente dallo spazio di archiviazione.";
"Snow","Neve";
"Pile of frozen water flakes.","Mucchio di fiocchi d'acqua ghiacciati.";
"Dirty Water","Acqua sporca";
"Liquid water to be drank for quenching thirst. This will be bad for your nutrition but the water can be purified using some simple chemistry.","Acqua liquida da bevvelare per la dissetura di tempra. Questo sarà cattivo per la tua nutrizione, ma l'acqua può essere purificata usando una semplice chimica.";
"Cooling Unit Mk. II","Unità di raffreddamento MK. II.";
"Diamond","Diamante";
"A crystalline form of pure carbon with immensely high hardness and thermal conductivity, commonly used in industrial cutting and grinding applications.","Una forma cristallina di carbonio puro con durezza immensamente elevata e conduttività termica, comunemente usata nelle applicazioni industriali di taglio e rettifica.";
"Dyno","Dyno.";
"A weak compound created to give a small boost to your speed.","Un composto debole creato per dare una piccola spinta alla tua velocità.";
"Pistol","Pistola";
"Lithium Ingot","Lingotto di litio";
"Ingots are bricks of purified building materials. You will use these in to build many different things.

- Melting point: 180.5 °C
","I lingotti sono mattoni di materiali da costruzione purificati. Lo userai per costruire molte cose diverse.

- Punto di fusione: 180,5 ° C
";
"Pick Axe","Pick Ax.";
"Large slashing tool that is primarily for mining but can be used in self defense.","Ampio strumento di taglio che è principalmente per l'estrazione minerario ma può essere utilizzato in autodifesa.";
"Assault Rifle Magazine","Assult Rifle Magazine.";
"Booster Unit Mk. I","BOOSTER UNIT MK. io";
"Anvil","Incudine";
"A strong compound created to give a boost to your health.","Un forte composto creato per dare una spinta alla tua salute.";
"Meat Stew","Stufato di carne";
"Simple Meat broth, an improvement over basic charred meat. Eat while equipped or straight from inventory.","Brodo di carne semplice, un miglioramento rispetto alla carne carbonizzata di base. Mangiare mentre equipaggiato o direttamente dall'inventario.";
"Light Unit Mk. II","Unità luminosa MK. II.";
"Charge Cell","Cella di carica";
"Advanced portable power source made in a printer or fabricator. Used as a power source for the charge rifle.","Sorgente di alimentazione portatile avanzata realizzata in una stampante o in una fabbricazione. Usato come fonte di alimentazione per il fucile di ricarica.";
"Orcek Egg","Orcek uovo";
"Egg taken from an Orcek. Cook to avoid food poisoning.","Uovo preso da un orcek. Cuocere per evitare l'avvelenamento da cibo.";
"Broken Computer Screen","Schermo del computer rotto";
"A computer with a screen that is defective.","Un computer con uno schermo che è difettoso.";
"Dull Survival Knife","Coltello di sopravvivenza opaca";
"A Survival Knife is a slashing tool that is an essential part of all U.N.E. standard issue Emergency Kits. Not sharp enough to precisely skin creatures, but could be used to separate plant fibers or butcher meat in a pinch.","Un coltello di sopravvivenza è uno strumento di taglio che è una parte essenziale di tutti gli u.n.e. Edizione standard Kit di emergenza. Non è abbastanza acuto per precisamente le creature della pelle, ma potrebbero essere utilizzate per separare fibre piante o carne di macellaio in un pizzico.";
"Sulfur","Zolfo";
"A nonmetallic element that is commonly used in chemical applications and as a component in fertilizers.","Un elemento non metallico comunemente usato nelle applicazioni chimiche e come componente nei fertilizzanti.";
"Oxygen Scrubber","Scrubber di ossigeno";
"Snake Meat","Carne di serpente";
"Meat ripped right off the body of a snake. Cook to avoid food poisoning.","Carne strappata proprio dal corpo di un serpente. Cuocere per evitare l'avvelenamento da cibo.";
"Power Cell","Cella di potenza";
"A basic lithium-ion power cell.","Una cella di potere di base agli ioni di litio.";
"Hydrazine","Hydrazine.";
"Highly explosive gas commonly used to fuel rockets.","Gas molto esplosivo comunemente usato per alimentare i razzi.";
"Crab Scythe","Crab falthe.";
"Melee weapon made from the talon of a crab monster.","Arma corpo a corpo fatta dal talone di un mostro di granchio.";
"Tin","Lattina";
"A soft metal commonly used in various alloys and as a coating to prevent corrosion.","Un metallo morbido comunemente usato in varie leghe e come rivestimento per prevenire la corrosione.";
"Horse Bract","Bracy cavallo.";
"Horse bract are used as an ingredient to craft different items.","Il bratto del cavallo è usato come ingrediente per creare oggetti diversi.";
"Targe","Targe.";
"A weak compound created to give you a small boost to your health.","Un composto debole creato per darti una piccola spinta alla tua salute.";
"Makeshift Bandage","Bandaggio di fortuna";
"Orcek Stew","Stufato di orcek.";
"A delicious stew with added Orcek Meat and Carrots. Eat while equipped or straight from inventory.","Uno stufato delizioso con carne e carote di Orcek aggiunte. Mangiare mentre equipaggiato o direttamente dall'inventario.";
"Duralumin","Duralluminio";
"An alloy with a high strength to weight ratio commonly used on vehicles and aircraft.","Una lega con un rapporto ad alta resistenza al peso comunemente utilizzato su veicoli e aeromobili.";
"Glass","Bicchiere";
"Crafting item for building structures, walls, and other items.
","Articolo di crafting per costruire strutture, pareti e altri oggetti.
";
"Cooling Unit Mk. I","Unità di raffreddamento MK. io";
"Soil","Suolo";
"Natural crafting agent for growing crops in a Bio Dome.","Agente di crafting naturale per coltivazioni crescenti in una bio dome.";
"Psychroptera","Psychroptera.";
"Fleshy growth from a Psychroptera.","Crescita carnosa da una psicropta.";
"Cooling Unit","Unità di raffreddamento";
"Azure Rifle","Fucile azzurro";
"Fuel Cell","Cella a combustibile";
"A long lasting power source.","Una fonte di energia duratura.";
"Solar Unit Mk. II","Unità solare MK. II.";
"Lead Ingot","Guidare lingotto";
"Ingots are bricks of purified building materials. You will use these in to build many different things.

- Melting point: 327.5 °C
","I lingotti sono mattoni di materiali da costruzione purificati. Lo userai per costruire molte cose diverse.

- Punto di fusione: 327,5 ° C
";
"Solar Panel Small Kit","Pannello solare piccolo kit";
"Kit used to build Small Solar Panel. To build, right-click on Inventory Item and select Build or select the  Small Solar Panel from the Structures tab in your Character Menu.","Kit utilizzato per costruire un piccolo pannello solare. Per creare, fare clic con il tasto destro del mouse sull'elemento di inventario e selezionare Build o Selezionare il piccolo pannello solare dalla scheda Structures nel menu del carattere.";
"Fibon Tree Fruit","Fibon Tree Fruit.";
"Alien Blood","Sangue alieno";
"Blood extracted from the body of an indigenous alien creature.","Sangue estratto dal corpo di una creatura aliena indigena.";
"Beacon Kit","KIT BEACON.";
"Kit used to build beacons. To build, right-click on Inventory Item and select Build or select the Beacon from the Utilities tab in your Character Menu.","Kit usato per costruire fari. Per creare, fare clic con il tasto destro del mouse sull'elemento di inventario e selezionare Build o Seleziona il Beacon dalla scheda Utility nel menu dei caratteri.";
"Storage Unit","Unità di archiviazione";
"Nickel Ingot","Lingotto di nichel";
"Ingots are bricks of purified building materials. You will use these in to build many different things.

- Melting point: 1455 °C
","I lingotti sono mattoni di materiali da costruzione purificati. Lo userai per costruire molte cose diverse.

- Punto di fusione: 1455 ° C
";
"Key Card Tier-1","Carta chiave Tier-1";
"A low-level clearance keycard used to open Osiris mission doors in abandoned settlements and mines.","Una keycard di clearance di basso livello utilizzata per aprire le porte di missione Osiris in insediamenti e miniere abbandonati.";
"Frost Lotus","Frost Lotus.";
"A flower from the Frost Lotus plant.","Un fiore dalla pianta del loto del gelo.";
"Crude Metal Axe Head","Testa di ascia del metallo grezzo";
"A piece of sharpened metal that can be used to make an axe.","Un pezzo di metallo affilato che può essere utilizzato per fare un'ascia.";
"Survival Tool","Strumento di sopravvivenza";
"A multi-tool included in all U.N.E. standard issue Emergency Kits, useful for repairing, salvaging, and precise tinkering when in a pinch.","Un multi-utensile incluso in tutti gli u.n.e. Edizione standard Kit di emergenza, utile per riparare, salvare e armittare preciso quando in un pizzico.";
"Oxygen Tanks","Serbatoi di ossigeno";
"Oxygen Bonus: ","Bonus di ossigeno:";
"Tanks filled with oxygen that can be plugged directly in to your suit. This will help you catch your breath by providing oxygen in the field.","Serbatoi riempiti con ossigeno che possono essere collegati direttamente al tuo abito. Questo ti aiuterà a prendere il tuo respiro fornendo ossigeno nel campo.";
"Zamak","Zamak.";
"A general purpose alloy with a wide range of applications.","Una lega generale con una vasta gamma di applicazioni.";
"6al-4v","6Al-4V.";
"An alloy with high specific strength and excellent corrosion resistance.","Una lega con alta resistenza specifica e un'eccellente resistenza alla corrosione.";
"Makeshift Patch Tape","Tape patch di fortuna";
"Ladder","Scala";
"Used to reach high places.","Usato per raggiungere luoghi alti.";
"Banana","Banana";
"Nitrogen Compress Cell","Cellule di compressione dell'azoto";
"ADD DETAILS
","Aggiungi dettagli
";
"Crude Metal Shovel","Pala in metallo grezzo.";
"Scarburros Palm","Scarburros Palm.";
"Data Disk SN:231.25","Disco dati SN: 231.25";
"Test Boots","Test stivali";
"Prevents Lava Damage","Previene il danno della lava";
"Gnat Underhook","Gnat Underhook.";
"Baked Potato","Patate al forno";
"Scrap Cloth","Panno di rottami";
"Soft fragments of cloth.","Frammenti morbidi di stoffa.";
"Data Disk SN:385.21","Disco dati SN: 385.21";
"Test Backpack","Test zaino";
"Ferrochrome","Ferrochrome.";
"Acid-resistent alloy used in the production of stainless steel.","Lega resistente agli acidi utilizzata nella produzione di acciaio inossidabile.";
"T21 Heavy Assault Rounds","T21 round d'assalto pesante";
"Patch Tape","Nastro adesivo";
"IMPORTANT! Use patch tape to repair suit punctures. Can be used while equipped or straight from inventory.","IMPORTANTE! Utilizzare nastro adesivo per riparare le forature di adattamento. Può essere utilizzato mentre equipaggiato o direttamente dall'inventario.";
"Dirt","Sporco";
"Useless","Inutili";
"Iron Ingot","Lingotto di ferro";
"Ingots are bricks of purified building materials. You will use these in to build many different things.

- Melting point: 1538 °C
","I lingotti sono mattoni di materiali da costruzione purificati. Lo userai per costruire molte cose diverse.

- Punto di fusione: 1538 ° C
";
"Test Helmet","Test casco";
"Snake Hide","Nascondi";
"Hide from a snake used to make items for crafting weapons and different items.","Nascondi da un serpente usato per creare oggetti per crollare armi e oggetti diversi.";
"Tumbo Shell","Tumbo Shell.";
"Shell taken from a Tumbo, often used to make defenses.","Guscio prelevato da un tumbo, spesso usato per effettuare difese.";
"Gnat Hide","Gnat Hide.";
"Ion Assault Rifle Magazine","Rivista di fucile assalto ionico";
"Spirit","Spirito";
"Advanced compound created to increase your health and speed.","Composto avanzato creato per aumentare la tua salute e velocità.";
"Spirea","Spirea.";
"Spirea plant sample used as an ingredient to craft different items. Can be eaten for a small increase in health and nutrition.","Campione dell'impianto Spirea utilizzato come ingrediente per creare oggetti diversi. Può essere mangiato per un piccolo aumento della salute e della nutrizione.";
"Organic Sludge","Fanghi organici";
"A thick sludge that appears to have high concentrations of graphene strands suspended in solution.","Un grosso fango che sembra avere alte concentrazioni di fili di grafene sospesa in soluzione.";
"Heat Sink Unit","Unità di dissipatore di calore";
"Broken Wire","Filo rotto";
"Short segments of wire. With more pieces, could be combined into a usable segment of wire.","Segmenti brevi di filo. Con più pezzi, potrebbe essere combinato in un segmento utilizzabile di filo.";
"Machete","Machete.";
"A sharp weapon that is essentially a steel blade with a nice handle.","Un'arma affilata che è essenzialmente una lama d'acciaio con una bella maniglia.";
"Copper Ingot","Lingotto di rame";
"Ingots are bricks of purified building materials. You will use these in to build many different things.

- Melting point: 1085 °C
","I lingotti sono mattoni di materiali da costruzione purificati. Lo userai per costruire molte cose diverse.

- Punto di fusione: 1085 ° C
";
"Alien Insect Parts","Parti insetti aliene";
"Squished parts of an indigenous alien insect.","Parti schiacciate di un insetto alieno indigeno.";
"Crab Screwdriver","Cacciavite di granchio";
"A makeshift multi-tool fashioned from tough pieces of chitinous antenna to allow for repairing, salvaging, and precise tinkering.","Un multi-utensile di fortuna modellato da pezzi difficili di antenna chitinosa per consentire la riparazione, il salvagingamento e il preciso tingering.";
"Military Medkit","Medkit militare";
"Rubber","Gomma da cancellare";
"Computer Screen","Schermo del computer";
"A computer screen with an internal processor.","Uno schermo del computer con un processore interno.";
"Fungtiple Bulb","Fungtiple Bulb.";
"A Bulb off a Fungtiple plant.","Una lampadina da una pianta di fungi.";
"Glass Container","Contenitore di vetro";
"Stores liquid so that it can be drank or used to craft more useful items.","Negozi liquidi in modo che possa essere bevuto o usato per creare oggetti più utili.";
"Heavy Assault Magazine","Rivista per l'assalto pesante";
"Ammo magazine for the Heavy Assault Rifle. It is automatically used when reloading, if stored in backpack.","Magazzino per munizioni per il pesante fucile d'assalto. Viene utilizzato automaticamente quando si ricarica, se conservato nello zaino.";
"Scrap Solar Panel","Rottami Solar Panel.";
"Scraps of solar panel parts that have been left over.","Scarsi di parti del pannello solare che sono state lasciate.";
"Ammo charges for the Pistol. It is automatically used when reloading, if stored in your backpack.","Abiti di munizioni per la pistola. Viene utilizzato automaticamente quando si ricarica, se memorizzati nello zaino.";
"Mercury","Mercurio";
"A heavy metal often used in its liquid form for scientific instruments such as thermometers.","Un metallo pesante spesso usato nella sua forma liquida per strumenti scientifici come i termometri.";
"Tumbo Egg","Tumbo Egg.";
"Egg taken from the body of a Tumbo. Cook to avoid food poisoning.","Uovo preso dal corpo di un tumbo. Cuocere per evitare l'avvelenamento da cibo.";
"Mercury Ingot","Mercury lingot.";
"Ingots are bricks of purified building materials. You will use these in to build many different things.

- Melting point: -38.83 °C
","I lingotti sono mattoni di materiali da costruzione purificati. Lo userai per costruire molte cose diverse.

- Punto di fusione: -38.83 ° C
";
"Crab Talon","Crab talone.";
"Talon taken from a crab monsters leg.","Talon prelevato da una gamba dei mostri granchi.";
"Shears","Cesoie";
"A precise surgical tool used for carefully gathering organic matter.","Uno strumento chirurgico preciso utilizzato per raccogliere accuratamente la materia organica.";
"Path Light Kit","Kit luce del percorso";
"Solar light used for path marking","Luce solare utilizzata per il marcatura del percorso";
"Barrel","Barile";
"Stores gas so that it can be used to craft more useful items.","Memorizza il gas in modo che possa essere utilizzato per creare oggetti più utili.";
"Storage Unit Mk. III","Stoccaggio MK. III.";
"Arachnoid Hide","Aracnoide Nascondi.";
"Hide taken from an Arachnoid, used for crafting purposes.","Nascondere presi da un aracnoide, utilizzato per scopi di crafting.";
"Arachnoid Tail","Coda aracnoidea";
"Tail taken from a Arachnoid to be used for crafting purposes.","Coda presa da un aracnoide da utilizzare per scopi di crafting.";
"Skeliopod Meat","Carne skeliopod";
"Meat ripped right off the body of a Skeliopod. Cook to avoid food poisoning.","Carne strappata proprio dal corpo di un skeliopod. Cuocere per evitare l'avvelenamento da cibo.";
"Data Disk SN:349.01","Disco dati SN: 349.01";
"Mission Cryptex","Missione criptex.";
"Recovery Unit Mk. I","Unità di recupero MK. io";
"Hydrogen Canister","Scatola dei contenitori di idrogeno";
"1% critical hit","1% di successo critico";
"Container holding a pressurized hydrogen mixture. Made in either a printer or a fabricator. Used as a fuel source for the hydrogen torch.","Contenitore che tiene una miscela di idrogeno pressurizzata. Realizzato in una stampante o in una fabbricazione. Usato come fonte di carburante per la torcia di idrogeno.";
"Darts","Freccette";
"Projectiles used by Dart Gun.","Proiettili usati da Dart Gun.";
"Hover Recharger","Recharger Hover.";
"Cobalt Ingot","Lingotto di cobalto.";
"Gnat Tongue","Gnat Tongue.";
"Tongue ripped right from the mouth of a Gnat. Cook to avoid food poisoning.","La lingua strappata fin dalla bocca di un Gnat. Cuocere per evitare l'avvelenamento da cibo.";
"Gold Cover","Copertura in oro";
"Nitro","Nitro.";
"Advanced compound created to give you more speed and stamina.","Composto avanzato creato per darti più velocità e resistenza.";
"Chlorine","Cloro";
"A pale green gas, important for water purification.","Un gas verde pallido, importante per la depurazione dell'acqua.";
"Adhesive","Adesivo";
"Adhesive is used in the fabrication of Patch Tape.","L'adesivo viene utilizzato nella fabbricazione del nastro adesivo.";
"English","inglese";
"Avatar Inventory","Inventario Avatar.";
"Back","Indietro";
"Avatars","Avatar.";
"Create New Avatar","Creare un nuovo avatar.";
"Universe:","Universo:";
"Single Player","Giocatore singolo";
"Owner:","Proprietario:";
"Current Base","Base corrente";
"Planet:","Pianeta:";
"Launch","Lanciare";
"Loading Avatar","Caricamento Avatar.";
"Loading Persistent Nature","Caricamento della natura persistente";
"EARLY ACCESS","ACCESSO ANTICIPATO";
"HINT: Unequip gun to run faster","SUGGERIMENTO: UNEQUIP PONDON PER GRASARE FASTER";
"Depository","Deposito";
"Habitat","Habitat";
"A Habitat is a multi-purpose room that can house many interior items.","Un habitat è una sala polifunzionale che può ospitare molti articoli interni.";
"Add to Backpack","Aggiungi allo zaino";
"Equip","Equipaggiamento";
"Store in Inventory","Conservare in Inventario";
"Drink","Bere";
"Empty out","Vuoto";
"Drop","Far cadere";
"New Ability","Nuova abilità";
"Status","Stato";
"This new ability unlocks your wildest dreams!","Questa nuova abilità sblocca i tuoi sogni più selvaggi!";
"Customize Colors","Personalizza i colori";
"Primary
","Primario
";
"Secondary","Secondario";
"Detail","Dettaglio";
"Glow","Bagliore";
"Hazy","Nebuloso";
"Missions","Missioni";
"CRITICAL BREACH","Violazione critica";
"Oxygen Low","Ossigeno basso";
"Local Time","Ora locale";
"You Are Dehydrated
You are Starving","Sei disidratato
Stai affamando";
"Suit Pressue Low","Vestito Pressue Low.";
"You Are FREEZING","Stai congelando";
"Agility","Agilità";
"4m 5s","4m 5s.";
"Fortitude","Fortezza";
"Strength","Forza";
"Stamina","Resistenza";
"HOV","Avvolgente";
"-62°","-62 °";
"HYD
---","Hyd.
---";
"

NTR","

Ntr.";
"HLTH","Hlth.";
"Restoring Oxygen in 10s","Ripristino dell'ossigeno in 10 secondi";
"0.99","99%";
"Atmos o2: 1.29%","Atmos O2: 1,29%";
"Weight:","Peso:";
"Patch Tape","Nastro adesivo";
"Medical Bandage","Benda medica";
"Scrap Metal","Rottami metallici";
"Fern Tree Berry","Berry Berry.";
"Alien Fiber","Fibra aliene";
"Rock","Roccia";
"Shard Blade","SHARD BLADE.";
"Alien Hide","Nascondi";
"Makeshift Chisel","Scalpello improvvisato";
"Barrel","Barile";
"Now that I've gotten a foothold on this planet, I should explore and see if I can regroup with the Phoenix Team. ([F3] will open up the GPS, your suit has a radar installed that will allow for Basic Scanning. [NUM +] and [NUM -] to change the zoom of the map.)","Ora che ho ottenuto un punto d'appoggio su questo pianeta, dovrei esplorare e vedere se riesco a raggruppare con il team di Phoenix. ([F3] si aprirà il GPS, il tuo abito ha un radar installato che consentirà la scansione di base. [NUM +] e [NUM -] per cambiare lo zoom della mappa.)";
"Slope: 35.6°","Pendio: 35.6 °";
"Laboratory","Laboratorio";
"New1","Nuovo1.";
"Level 08 - SCIENTIST","Livello 08 - Scienziato";
"Sol 01","Sol 01.";
"13 hrs to next sol","13 ore al prossimo Sol";
"Level 01","Livello 01.";
"XP: 25/100","XP: 25/100.";
"Physical Stats","Statistiche fisiche";
"Speed","Velocità";
"Health","Salute";
"Stat Points:","Puntit Punti:";
"Proficiencies","Profienza";
"Combat","Combattere";
"Engineering","Ingegneria";
"Science","Scienza";
"HLTH
---","Hlth.
---";
"Suit","Completo da uomo";
"NTR","Ntr.";
"Creation Center","Centro di creazione";
"Skeliopod Meat","Carne skeliopod";
"Steel","Acciaio";
"Rubber","Gomma da cancellare";
"Grilled Alien Meat","Carne aliena grigliata";
"<color=silver>Class: </color><color=white>Consumable</color>
<color=silver>Amount: </color><color=white>1/50</color>
<color=silver>Weight: </color><color=white>0.50</color><color=lime> kgs</color>
<color=silver>Health Bonus: </color><color=white>10</color>
<color=silver>Nutrition Bonus: </color><color=white>50</color>

<color=white>Meat ripped right off the body of an indigenous alien creature. Has been cooked and is safe to eat.</color>","<Colore = Argento> Classe: </ Colour> <Colore = Bianco> Consumabile </ Color>
<Color = Silver> Quantità: </ Colore> <Colore = Bianco> 1/50 </ Color>
<Colore = Argento> Peso: </ Colore> <Colore = Bianco> 0,50 </ Colore> <Colore = Lime> KGS </ Color>
<Color = Silver> Bonus sanitario: </ Color> <Color = Bianco> 10 </ Color>
<Colore = Argento> Bonus Nutrizione: </ Color> <Colore = Bianco> 50 </ Color>

<colore = bianco> carne strappata proprio dal corpo di una creatura aliena indigena. È stato cotto ed è sicuro da mangiare. </ Color>";
"Backpack","Zaino";
"Default","Predefinito";
"Alphabetical","Alfabetico";
"43.61 / 80.00 kgs
54.5% Weight Capacity","43.61 / 80,00 kgs
54,5% di capacità di peso";
"Inventory
","Inventario
";
"[A] Skills","[A] Abilità";
"Crafting [D]","Crafting [D]";
"Urchin Shell","Guscio di urchin";
"Duralumin","Duralluminio";
"Titanium","Titanio";
"Brass","Ottone";
"Tungsten","Tungsteno";
"Bronze","Bronzo";
"Wire","Filo";
"Circuit Board","Scheda di circuito";
"Power Cell","Cella di potenza";
"Diamond Chisel","Scalpello di diamante";
"Magnalium","Magnalio";
"Gunmetal","Gunmetal.";
"Lead","Condurre";
"Battery","Batteria";
"Assault Rifle","Fucile d'assalto";
"Talonite","Talonite.";
"Mechanized Spanner","Spanner meccanizzato";
"Crab Antenna","Antenna di granchio";
"Crab Shell","Guscio di granchio";
"Crab Meat","Polpa di granchio";
"Crab Talon","Crab talone.";
"Crab Leg Meat","Carne di gamba di granchio";
"Fuel Cell","Cella a combustibile";
"Cast Iron","Ghisa";
"Ferrochrome","Ferrochrome.";
"6al-4v","6Al-4V.";
"Nichrome","Nichrome";
"Azurnium","Azurnio.";
"Glass","Bicchiere";
"Cobalt","Cobalto";
"Inventory","Inventario";
"Field Guide","Guida sul campo";
"Skills","Competenze";
"Options","Opzioni";
"Build / Craft [F3]","Build / Craft [F3]";
"Data Selection
Matrix","Selezione dei dati
Matrice";
"Aziel","Aziel";
"Env Pressure:","ENV PRESSIONE:";
"Env Temp:","ENV TEMP:";
"Personal Data Unit","Unità di dati personali";
"Osiris Mission Team","Team di missione di Osiris.";
"Systems Data Selection","Selezione dei dati dei sistemi";
"Build 248.517.68200","Costruire 248.517.68200.";
"Exit Data Matrix [Tab]","Esci da matrice dati [scheda]";
"Log","Registrazione";
"Lorem ipsum dolor sit amet, sed ea offendit aliquando mediocritatem. Cum ad quis malorum recusabo, nam ea audiam fuisset incorrupte, et eirmod aperiam pro. Quod detracto eloquentiam an vel, cum mutat argumentum ex. Ex eam partem dolores pertinacia, et alterum maiorum praesent his. Copiosae laboramus assentior te per, te eam feugiat elaboraret. Ut cum quas minim, has quot prodesset assueverit ei, an his utamur tibique.","Lorem Ipsum Dolor Sit Amet, Sed EA Offendit AliQuando Mediocitatem. Cum Ad Quis Malorum Recusabo, Nam EA Audiam Fuisset Invrutto, Et Ermod Aperiam Pro. Quod Detracto Eloquentiam An Vel, cum mutat argumentum ex. Exeam Partem Dolores Pertinacia, Et Alterum Maiorum Praesent suo. Copiosae Laboramus Assentior TE per, Te Eam Feugiat Elaboraret. UT cum quas minime, ha quot ProDesset Assueverit EI, il suo utamur tibique.";
"Craft","Artigianato";
"Utilities","Utilità";
"Defenses","Difese";
"Structures","Strutture";
"Appliances","Elettrodomestici.";
"Custom","Abitudine";
"Crafting","Crafting.";
"[A] Inventory","[A] inventario";
"GPS [D]","GPS [D]";
"Makeshift Patch Tape","Tape patch di fortuna";
"Class: ","Classe:";
"Amount: ","Quantità:";
"Weight: ","Peso:";
" kgs"," kgs.";
"Suit Integrity Bonus: ","Bonus di integrità del vestito:";
"IMPORTANT! Use masking tape to repair suit punctures. Can be used while equipped or straight from inventory.","IMPORTANTE! Utilizzare il nastro adesivo per riparare le forature dei vestiti. Può essere utilizzato mentre equipaggiato o direttamente dall'inventario.";
"Makeshift Bandage","Bandaggio di fortuna";
"Health Bonus: ","Bonus sanitario:";
"Heals hitpoints. Can be used while equipped or straight from inventory.","Guarisce gli hitpoint. Può essere utilizzato mentre equipaggiato o direttamente dall'inventario.";
"Makeshift Cloth Bundle","Bundle di stoffa improvvisato";
"A makeshift bundle of loosely woven fibers.","Un fascio di fortuna di fibre antigas.";
"Bashing Rock","Bashing rock.";
"Durability: ","Durata:";
"%","%";
"Hardness: ","Durezza:";
"Damage: ","Danno:";
"0% critical hit","0% di successo critico";
"Useful when you have no other tools.","Utile quando non hai altri strumenti.";
"Stone Blade","Lama di pietra";
"A sharpened rock that can be used to make a blade.","Una roccia affilata che può essere usata per fare una lama.";
"Stone Axe Head","Testa di ascia di pietra";
"A sharpened rock that can be used to make an axe","Una roccia affilata che può essere utilizzata per fare un'ascia";
"Stone Shovel Head","Testa di pala in pietra";
"A shaped rock that can be used to make a shovel.","Una roccia sagomata che può essere usata per fare una pala.";
"Shaped Crab Antenna","Antenna di granchio sagomata";
"A shaped fragment of a Crab Antenna, could be fashioned into a crude precision tool.","Un frammento sagomato di un'antenna di granchio, potrebbe essere modellata in uno strumento di precisione del greggio.";
"Crab Screwdriver","Cacciavite di granchio";
"A makeshift multi-tool fashioned from tough pieces of chitinous antenna to allow for repairing, salvaging, and precise tinkering.","Un multi-utensile di fortuna modellato da pezzi difficili di antenna chitinosa per consentire la riparazione, il salvagingamento e il preciso tingering.";
"20% critical hit","Colpo critico del 20%";
"A small sharp weapon made from a rock shard.","Una piccola arma affilata fatta da un frammento roccioso.";
"Stone Axe","Ascia di pietra";
"A slashing tool that is essentially a rock on a stick with a nice handle.","Uno strumento che è essenzialmente una roccia su un bastone con una bella maniglia.";
"Crab Scythe","Crab falthe.";
"Melee weapon made from the talon of a crab monster.","Arma corpo a corpo fatta dal talone di un mostro di granchio.";
"Stone Shovel","Pala in pietra";
"Tool used to gather Sand for use in crafting.","Strumento utilizzato per raccogliere la sabbia per l'uso in lavorazione.";
"Soil","Suolo";
"Natural crafting agent for growing crops in a Bio Dome.","Agente di crafting naturale per coltivazioni crescenti in una bio dome.";
"Redfern Tree Berry","Berry di albero di Redfern.";
"Branches","Rami";
"Sand","Sabbia";
"Human Waste","Spreco umano";
"Accessing Data","Accesso ai dati";
"Crude Pipe","Tubo grezzo";
"Scrap Hinge","Cerniera per rottami";
"Sulfur","Zolfo";
"Mercury","Mercurio";
"Aluminum","Alluminio";
"Iron","Ferro";
"Computer Screen","Schermo del computer";
"Hose","Tubo flessibile";
"White Gold","Oro bianco";
"Dymalloy","Dymalloy.";
"Small Radar Dish Kit","Kit per piatti radar piccoli";
"Solar Panel Small Kit","Pannello solare piccolo kit";
"Nickel","Nichel";
"Gold","Oro";
"Lonsdaleite","Lonsdaleite.";
"Copper","Rame";
"Zinc","Zinco";
"Plastic","Plastica";
"Beacon Kit","KIT BEACON.";
"Path Light Kit","Kit luce del percorso";
"Diamond","Diamante";
"Zirconium Plate","Piastra zirconio";
"Zirconium Circuit Board","Circuito di zirconio";
"Land Mine Set","Terra miniera set.";
"Cubic Zirconia","Zirconia cubica";
"Skeliopod Shell","Shell skeliopod.";
"Skeliopod Tail","Coda di skeliopod.";
"Inflatable Dome Kit","Kit cupola gonfiabile";
"Zamak","Zamak.";
"Lithium","Litio";
"Cloth Bundle","Bundle di stoffa";
"dev console commands","Dev console comandi";
"Buggie","Buggie.";
"_","_";
"Space Utilities","Utensili spaziali";
"Spacecraft","Navicella spaziale";
"Plutonium","Plutonio";
"Zircaloy","Zircoia";
"Bug Report / Feedback","Bug Report / Feedback";
"Resume","Curriculum vitae";
"Settings","impostazioni";
"Main Menu","Menu principale";
"Exit Game","Esci da Game.";
"Menu Options","Opzioni del menu";
"Are you sure you want to quit to main menu? <color=#00FFB7FF>Your current position and profile will be saved.</color>","Sei sicuro di voler uscire al menu principale? <Color = # 00FFB7FF> La tua posizione corrente e il profilo verrà salvato. </ Color>";
"No","No";
"Yes","sì";
