"English","Français";
"Pile of frozen water flakes.","Tas de flocons d'eau congelés.";
"Dirty Water","Eau sale";
"Liquid water to be drank for quenching thirst. This will be bad for your nutrition but the water can be purified using some simple chemistry.","Eau liquide à boire pour tremper la soif. Ce sera mauvais pour votre nutrition, mais l'eau peut être purifiée en utilisant une chimie simple.";
"Cooling Unit Mk. II","Unité de refroidissement MK. Ii";
"Diamond","diamant";
"A crystalline form of pure carbon with immensely high hardness and thermal conductivity, commonly used in industrial cutting and grinding applications.","Une forme cristalline de carbone pur avec une dureté immensément élevée et une conductivité thermique, couramment utilisée dans les applications de coupe et de broyage industrielles.";
"Dyno","Dyno";
"A weak compound created to give a small boost to your speed.","Un composé faible créé pour donner un petit coup de pouce à votre vitesse.";
"Pistol","Pistolet";
"Lithium Ingot","Lingot de lithium";
"Ingots are bricks of purified building materials. You will use these in to build many different things.

- Melting point: 180.5 °C
","Les lingots sont des briques de matériaux de construction purifiés. Vous les utiliserez pour créer de nombreuses choses différentes.

- Point de fusion: 180,5 ° C
";
"Pick Axe","Pioche";
"Large slashing tool that is primarily for mining but can be used in self defense.","Grand outil de sauvetage principalement destiné à l'exploitation minière mais peut être utilisé en légitime défense.";
"Assault Rifle Magazine","Magazine de fusil d'assaut";
"Booster Unit Mk. I","Booster Unité MK. je";
"Anvil","Enclume";
"A strong compound created to give a boost to your health.","Un composé puissant créé pour donner un coup de pouce à votre santé.";
"Meat Stew","Ragoût de viande";
"Simple Meat broth, an improvement over basic charred meat. Eat while equipped or straight from inventory.","Bouillon de viande simple, une amélioration sur la viande carbonique de base. Manger tout équipé ou droit de l'inventaire.";
"Light Unit Mk. II","Unité de lumière mk. Ii";
"Charge Cell","Cellule de charge";
"Advanced portable power source made in a printer or fabricator. Used as a power source for the charge rifle.","Source d'alimentation portable avancée faite dans une imprimante ou un fabricant. Utilisé comme source d'alimentation pour le fusil de charge.";
"Orcek Egg","Œuf à orcek";
"Egg taken from an Orcek. Cook to avoid food poisoning.","Oeuf pris d'une orcek. Cuire pour éviter l'intoxication alimentaire.";
"Broken Computer Screen","Écran d'ordinateur brisé";
"A computer with a screen that is defective.","Un ordinateur avec un écran qui est défectueux.";
"Dull Survival Knife","Couteau de survie terne";
"A Survival Knife is a slashing tool that is an essential part of all U.N.E. standard issue Emergency Kits. Not sharp enough to precisely skin creatures, but could be used to separate plant fibers or butcher meat in a pinch.","Un couteau de survie est un outil slashing qui constitue une partie essentielle de tout U.n.e. Kits d'urgence émettrice standard. Pas assez fort pour les créatures précis de la peau, mais pourrait être utilisée pour séparer les fibres végétales ou la viande de boucherie dans une pincée.";
"Sulfur","Soufre";
"A nonmetallic element that is commonly used in chemical applications and as a component in fertilizers.","Un élément non métallique couramment utilisé dans les applications chimiques et en tant que composant dans les engrais.";
"Oxygen Scrubber","Laveur d'oxygène";
"Snake Meat","Viande de serpent";
"Meat ripped right off the body of a snake. Cook to avoid food poisoning.","La viande déchirée directement du corps d'un serpent. Cuire pour éviter l'intoxication alimentaire.";
"Power Cell","Cellule de puissance";
"A basic lithium-ion power cell.","Une cellule de puissance de lithium-ion de base.";
"Hydrazine","Hydrazine";
"Highly explosive gas commonly used to fuel rockets.","Des gaz très explosifs couramment utilisés pour alimenter les roquettes.";
"Crab Scythe","Crabe faux";
"Melee weapon made from the talon of a crab monster.","Arme de mêlée faite du talon d'un monstre de crabe.";
"Tin","Étain";
"A soft metal commonly used in various alloys and as a coating to prevent corrosion.","Un métal mou couramment utilisé dans divers alliages et en tant que revêtement pour prévenir la corrosion.";
"Horse Bract","Bracton de chevaux";
"Horse bract are used as an ingredient to craft different items.","Les bracts de chevaux sont utilisés comme ingrédient pour créer des objets différents.";
"Targe","Ériger";
"A weak compound created to give you a small boost to your health.","Un composé faible créé pour vous donner un petit boost à votre santé.";
"Makeshift Bandage","Bandage de fortune";
"Orcek Stew","Ragoût d'orcek";
"A delicious stew with added Orcek Meat and Carrots. Eat while equipped or straight from inventory.","Un délicieux ragoût avec de la viande et des carottes orquées. Manger tout équipé ou droit de l'inventaire.";
"Duralumin","Duralumin";
"An alloy with a high strength to weight ratio commonly used on vehicles and aircraft.","Un alliage avec un rapport de poids élevé au poids couramment utilisé sur les véhicules et les aéronefs.";
"Glass","Verre";
"Crafting item for building structures, walls, and other items.
","Article d'artisanat pour les structures de construction, les murs et autres objets.
";
"Cooling Unit Mk. I","Unité de refroidissement MK. je";
"Soil","Sol";
"Natural crafting agent for growing crops in a Bio Dome.","Agent d'artisanat naturel pour cultiver des cultures dans un dôme bio.";
"Psychroptera","Psychroptera";
"Fleshy growth from a Psychroptera.","Croissance charnue d'un psychroptage.";
"Cooling Unit","Unité de refroidissement";
"Azure Rifle","Fusil d'azur";
"Fuel Cell","Pile à combustible";
"A long lasting power source.","Une source d'alimentation longue durée.";
"Solar Unit Mk. II","Unité solaire mk. Ii";
"Lead Ingot","Lingot de plomb";
"Ingots are bricks of purified building materials. You will use these in to build many different things.

- Melting point: 327.5 °C
","Les lingots sont des briques de matériaux de construction purifiés. Vous les utiliserez pour créer de nombreuses choses différentes.

- Point de fusion: 327.5 ° C
";
"Solar Panel Small Kit","Panneau solaire petit kit";
"Kit used to build Small Solar Panel. To build, right-click on Inventory Item and select Build or select the  Small Solar Panel from the Structures tab in your Character Menu.","Kit utilisé pour construire un petit panneau solaire. Pour construire, cliquez avec le bouton droit de la souris sur l'élément d'inventaire et sélectionnez Construire ou sélectionnez le petit panneau solaire dans l'onglet Structures dans votre menu de caractères.";
"Fibon Tree Fruit","Fibon Tree Fruit";
"Alien Blood","Sang étranger";
"Blood extracted from the body of an indigenous alien creature.","Sang extrait du corps d'une créature extraterrestre indigène.";
"Beacon Kit","Kit de balise";
"Kit used to build beacons. To build, right-click on Inventory Item and select Build or select the Beacon from the Utilities tab in your Character Menu.","Kit utilisé pour construire des balises. Pour construire, cliquez avec le bouton droit de la souris sur l'élément d'inventaire et sélectionnez Construire ou sélectionnez la balise dans l'onglet Utilitaires dans votre menu de caractères.";
"Storage Unit","Unité de stockage";
"Nickel Ingot","Lingot de nickel";
"Ingots are bricks of purified building materials. You will use these in to build many different things.

- Melting point: 1455 °C
","Les lingots sont des briques de matériaux de construction purifiés. Vous les utiliserez pour créer de nombreuses choses différentes.

- Point de fusion: 1455 ° C
";
"Key Card Tier-1","Carte de clés Tier-1";
"A low-level clearance keycard used to open Osiris mission doors in abandoned settlements and mines.","Une carte de clavier de basse niveau utilisée pour ouvrir les portes de mission d'Osiris dans des colonies et des mines abandonnées.";
"Frost Lotus","Givre lotus";
"A flower from the Frost Lotus plant.","Une fleur de l'usine de lotus du givre.";
"Crude Metal Axe Head","Tête de hache métallique brute";
"A piece of sharpened metal that can be used to make an axe.","Un morceau de métal aiguisé pouvant être utilisé pour fabriquer une hache.";
"Survival Tool","Outil de survie";
"A multi-tool included in all U.N.E. standard issue Emergency Kits, useful for repairing, salvaging, and precise tinkering when in a pinch.","Un outil multi-outil inclus dans tout U.n.e. Les kits d'urgence sont utiles pour la réparation, la récupération et le bricolage précis lorsque dans une pincée.";
"Oxygen Tanks","Chars d'oxygène";
"Oxygen Bonus: ","Bonus d'oxygène:";
"Tanks filled with oxygen that can be plugged directly in to your suit. This will help you catch your breath by providing oxygen in the field.","Les réservoirs remplis d'oxygène peuvent être branchés directement dans votre costume. Cela vous aidera à attirer votre souffle en fournissant de l'oxygène sur le terrain.";
"Zamak","Zamak";
"A general purpose alloy with a wide range of applications.","Un alliage général avec une large gamme d'applications.";
"6al-4v","6AL-4V";
"An alloy with high specific strength and excellent corrosion resistance.","Un alliage à haute résistance spécifique et une excellente résistance à la corrosion.";
"Makeshift Patch Tape","Ruban adhésif de fortune";
"Ladder","Échelle";
"Used to reach high places.","Utilisé pour atteindre des endroits élevés.";
"Banana","banane";
"Nitrogen Compress Cell","Cellule de compresse d'azote";
"ADD DETAILS
","Ajouter des détails
";
"Crude Metal Shovel","Pelle métallique brute";
"Scarburros Palm","Scarburros Palm";
"Data Disk SN:231.25","Disque de données SN: 231.25";
"Test Boots","Bottes de test";
"Prevents Lava Damage","Empêche les dégâts de lava";
"Gnat Underhook","Gnat sous-lit";
"Baked Potato","Pomme de terre au four";
"Scrap Cloth","Chiffon de fer";
"Soft fragments of cloth.","Fragments doux de tissu.";
"Data Disk SN:385.21","Disque de données SN: 385.21";
"Test Backpack","Sac à dos de test";
"Ferrochrome","Ferrophrome";
"Acid-resistent alloy used in the production of stainless steel.","Alliage résistant à l'acide utilisé dans la production d'acier inoxydable.";
"T21 Heavy Assault Rounds","T21 Heavy Assault Rounds";
"Patch Tape","Ruban adhésif";
"IMPORTANT! Use patch tape to repair suit punctures. Can be used while equipped or straight from inventory.","IMPORTANT! Utilisez du ruban adhésif pour réparer les perforations. Peut être utilisé tout en étant équipé ou droit de l'inventaire.";
"Dirt","Saleté";
"Useless","Inutile";
"Iron Ingot","Lingot de fer";
"Ingots are bricks of purified building materials. You will use these in to build many different things.

- Melting point: 1538 °C
","Les lingots sont des briques de matériaux de construction purifiés. Vous les utiliserez pour créer de nombreuses choses différentes.

- Point de fusion: 1538 ° C
";
"Test Helmet","Casque de test";
"Snake Hide","Peau de serpent";
"Hide from a snake used to make items for crafting weapons and different items.","Cachez à partir d'un serpent utilisé pour fabriquer des objets pour créer des armes et différents articles.";
"Tumbo Shell","Coquille de tumbo";
"Shell taken from a Tumbo, often used to make defenses.","Shell tiré d'un tumbo, souvent utilisé pour faire des défenses.";
"Gnat Hide","Gnat cacher";
"Ion Assault Rifle Magazine","Magazine de fusil d'assaut ion";
"Spirit","Esprit";
"Advanced compound created to increase your health and speed.","Composé avancé créé pour augmenter votre santé et votre vitesse.";
"Spirea","Spirée";
"Spirea plant sample used as an ingredient to craft different items. Can be eaten for a small increase in health and nutrition.","Échantillon de la plante Spathea utilisée comme ingrédient pour créer des objets différents. Peut être mangé pour une faible augmentation de la santé et de la nutrition.";
"Organic Sludge","Boues biologiques";
"A thick sludge that appears to have high concentrations of graphene strands suspended in solution.","Une boue épaisse qui semble avoir une concentration élevée de brins de graphène suspendus en solution.";
"Heat Sink Unit","Dissipateur de chaleur";
"Broken Wire","Fil cassé";
"Short segments of wire. With more pieces, could be combined into a usable segment of wire.","Segments courts de fil. Avec plus de morceaux, pourrait être combiné dans un segment utilisable de fil.";
"Machete","Machette";
"A sharp weapon that is essentially a steel blade with a nice handle.","Une arme aiguë qui est essentiellement une lame en acier avec une belle poignée.";
"Copper Ingot","Lingot de cuivre";
"Ingots are bricks of purified building materials. You will use these in to build many different things.

- Melting point: 1085 °C
","Les lingots sont des briques de matériaux de construction purifiés. Vous les utiliserez pour créer de nombreuses choses différentes.

- Point de fusion: 1085 ° C
";
"Alien Insect Parts","Pièces d'insectes extraterrestres";
"Squished parts of an indigenous alien insect.","Des parties schies d'un insecte étranger autochtone.";
"Crab Screwdriver","Tournevis de crabe";
"A makeshift multi-tool fashioned from tough pieces of chitinous antenna to allow for repairing, salvaging, and precise tinkering.","Un multi-outil de fortune façonné de morceaux difficiles d'antenne chitueux pour permettre la réparation, la récupération et le bricolage précis.";
"Military Medkit","Medkit militaire";
"Rubber","Caoutchouc";
"Computer Screen","Écran d'ordinateur";
"A computer screen with an internal processor.","Un écran d'ordinateur avec un processeur interne.";
"Fungtiple Bulb","Ampoule de fungtiples";
"A Bulb off a Fungtiple plant.","Une ampoule d'une plante de fongtiples.";
"Glass Container","Conteneur de verre";
"Stores liquid so that it can be drank or used to craft more useful items.","Stocke le liquide de sorte qu'il puisse être bu ou utilisé pour concevoir des objets plus utiles.";
"Heavy Assault Magazine","Magazine Heavy Assault";
"Ammo magazine for the Heavy Assault Rifle. It is automatically used when reloading, if stored in backpack.","Magazine Ammo pour le fusil d'assaut lourd. Il est automatiquement utilisé lors du rechargement, s'il est stocké dans Sac à dos.";
"Scrap Solar Panel","Panneau solaire de ferraille";
"Scraps of solar panel parts that have been left over.","Scraps de parties de panneau solaire qui ont été laissées.";
"Ammo charges for the Pistol. It is automatically used when reloading, if stored in your backpack.","Les charges de munitions pour le pistolet. Il est automatiquement utilisé lors du rechargement, s'il est stocké dans votre sac à dos.";
"Mercury","Mercure";
"A heavy metal often used in its liquid form for scientific instruments such as thermometers.","Un métal lourd souvent utilisé sous sa forme de liquide pour des instruments scientifiques tels que des thermomètres.";
"Tumbo Egg","Tumbo";
"Egg taken from the body of a Tumbo. Cook to avoid food poisoning.","Oeuf pris du corps d'un tumbo. Cuire pour éviter l'intoxication alimentaire.";
"Mercury Ingot","Lingot de mercure";
"Ingots are bricks of purified building materials. You will use these in to build many different things.

- Melting point: -38.83 °C
","Les lingots sont des briques de matériaux de construction purifiés. Vous les utiliserez pour créer de nombreuses choses différentes.

- Point de fusion: -38,83 ° C
";
"Crab Talon","Crabe talon";
"Talon taken from a crab monsters leg.","Talon tiré d'une jambe de monstres de crabe.";
"Shears","Cisailles";
"A precise surgical tool used for carefully gathering organic matter.","Un outil chirurgical précis utilisé pour accumuler soigneusement la matière organique.";
"Path Light Kit","Trousse de chemin de chemin";
"Solar light used for path marking","Lumière solaire utilisée pour le marquage du chemin";
"Barrel","Baril";
"Stores gas so that it can be used to craft more useful items.","Stocke les gaz de sorte qu'il puisse être utilisé pour créer des objets plus utiles.";
"Storage Unit Mk. III","Unité de stockage MK. III";
"Arachnoid Hide","Cacher arachnoïde";
"Hide taken from an Arachnoid, used for crafting purposes.","Cachée prise d'un arachnoïde, utilisé à des fins d'artisanat.";
"Arachnoid Tail","Queue arachnoïde";
"Tail taken from a Arachnoid to be used for crafting purposes.","Queue prise d'un arachnoïde à utiliser à des fins d'artisanat.";
"Skeliopod Meat","Viande de skéliopod";
"Meat ripped right off the body of a Skeliopod. Cook to avoid food poisoning.","La viande s'est déchirée directement sur le corps d'un skeliopode. Cuire pour éviter l'intoxication alimentaire.";
"Data Disk SN:349.01","Disque de données SN: 349.01";
"Mission Cryptex","Mission cryptex";
"Recovery Unit Mk. I","Unité de récupération MK. je";
"Hydrogen Canister","Bidon d'hydrogène";
"1% critical hit","1% de succès critique";
"Container holding a pressurized hydrogen mixture. Made in either a printer or a fabricator. Used as a fuel source for the hydrogen torch.","Conteneur tenant un mélange d'hydrogène sous pression. Fait dans une imprimante ou un fabricant. Utilisé comme source de carburant pour la torche d'hydrogène.";
"Darts","Fléchettes";
"Projectiles used by Dart Gun.","Projectiles utilisés par Dart Gun.";
"Hover Recharger","Graphique";
"Cobalt Ingot","Lingot de cobalt";
"Gnat Tongue","Langue gnat";
"Tongue ripped right from the mouth of a Gnat. Cook to avoid food poisoning.","La langue déchirée de la bouche d'un moucheron. Cuire pour éviter l'intoxication alimentaire.";
"Gold Cover","Couverture d'or";
"Nitro","Nitro";
"Advanced compound created to give you more speed and stamina.","Composé avancé créé pour vous donner plus de vitesse et d'endurance.";
"Chlorine","Chlore";
"A pale green gas, important for water purification.","Un gaz vert pâle, important pour la purification de l'eau.";
"Adhesive","Adhésif";
"Adhesive is used in the fabrication of Patch Tape.","L'adhésif est utilisé dans la fabrication du ruban adhésif.";
"English","Anglais";
"Avatar Inventory","Inventaire d'avatar";
"Back","Dos";
"Avatars","Avatars";
"Create New Avatar","Créer un nouvel avatar";
"Universe:","Univers:";
"Single Player","Joueur unique";
"Owner:","Propriétaire:";
"Current Base","Base actuelle";
"Planet:","Planète:";
"Launch","Lancer";
"Loading Avatar","Chargement avatar";
"Loading Persistent Nature","Chargement de la nature persistante";
"EARLY ACCESS","ACCÈS ANTICIPÉ";
"HINT: Unequip gun to run faster","Astuce: le pistolet non égal à courir plus vite";
"Depository","Dépôt";
"Habitat","Habitat";
"A Habitat is a multi-purpose room that can house many interior items.","Un habitat est une salle polyvalente qui peut accueillir de nombreux articles intérieurs.";
"Add to Backpack","Ajouter au sac à dos";
"Equip","Équiper";
"Store in Inventory","Stocker dans l'inventaire";
"Drink","Boire";
"Empty out","Vider";
"Drop","Tomber";
"New Ability","Nouvelle capacité";
"Status","Statut";
"This new ability unlocks your wildest dreams!","Cette nouvelle capacité déverrouille vos rêves les plus fous!";
"Customize Colors","Personnaliser les couleurs";
"Primary
","Primaire
";
"Secondary","Secondaire";
"Detail","Détail";
"Glow","Briller";
"Hazy","Brumeux";
"Missions","Missions";
"CRITICAL BREACH","Violation critique";
"Oxygen Low","Oxygène faible";
"Local Time","Heure locale";
"You Are Dehydrated
You are Starving","Vous êtes déshydraté
Tu es affamé";
"Suit Pressue Low","Costume pressus bas";
"You Are FREEZING","Vous gelez";
"Agility","Agilité";
"4m 5s","4m 5s";
"Fortitude","Courage";
"Strength","Force";
"Stamina","Endurance";
"HOV","Huz";
"-62°","-62 °";
"HYD
---","Hyd
---";
"

NTR","

Ntr";
"HLTH","Hlth";
"Restoring Oxygen in 10s","Restaurer l'oxygène dans les 10s";
"0.99","99%";
"Atmos o2: 1.29%","ATMOS O2: 1,29%";
"Weight:","Poids:";
"Patch Tape","Ruban adhésif";
"Medical Bandage","Bandage médical";
"Scrap Metal","Ferraille";
"Fern Tree Berry","Berry de fougère";
"Alien Fiber","Fibre étrangère";
"Rock","Rocheux";
"Shard Blade","Lame de shard";
"Alien Hide","Alien cacher";
"Makeshift Chisel","Burin de fortune";
"Barrel","Baril";
"Now that I've gotten a foothold on this planet, I should explore and see if I can regroup with the Phoenix Team. ([F3] will open up the GPS, your suit has a radar installed that will allow for Basic Scanning. [NUM +] and [NUM -] to change the zoom of the map.)","Maintenant que j'ai eu un pied sur cette planète, je devrais explorer et voir si je peux regrouper avec l'équipe Phoenix. ([F3] ouvrira le GPS, votre costume a un radar installé qui permettra une numérisation de base. [Num +] et [num -] pour changer le zoom de la carte.)";
"Slope: 35.6°","Pente: 35.6 °";
"Laboratory","Laboratoire";
"New1","Nouveau1";
"Level 08 - SCIENTIST","Niveau 08 - Scientifique";
"Sol 01","SOL 01";
"13 hrs to next sol","13 heures au prochain sol";
"Level 01","Niveau 01";
"XP: 25/100","XP: 25/100";
"Physical Stats","Statistiques physiques";
"Speed","La vitesse";
"Health","Santé";
"Stat Points:","Points de statistiques:";
"Proficiencies","Profilés";
"Combat","Combat";
"Engineering","Ingénierie";
"Science","La science";
"HLTH
---","Hlth
---";
"Suit","Costume";
"NTR","Ntr";
"Creation Center","Centre de création";
"Skeliopod Meat","Viande de skéliopod";
"Steel","Acier";
"Rubber","Caoutchouc";
"Grilled Alien Meat","Viande extraterrestre grillée";
"<color=silver>Class: </color><color=white>Consumable</color>
<color=silver>Amount: </color><color=white>1/50</color>
<color=silver>Weight: </color><color=white>0.50</color><color=lime> kgs</color>
<color=silver>Health Bonus: </color><color=white>10</color>
<color=silver>Nutrition Bonus: </color><color=white>50</color>

<color=white>Meat ripped right off the body of an indigenous alien creature. Has been cooked and is safe to eat.</color>","<Couleur = Silver> Classe: </ Couleur> <Couleur = Blanc> Consommable </ Couleur>
<Couleur = argent> Montant: </ Color> <Couleur = Blanc> 1/50 </ Couleur>
<Couleur = argent> Poids: </ Couleur> <Couleur = Blanc> 0.50 </ Couleur> <Couleur = Lime> Kgs </ Couleur>
<couleur = argent> Bonus de santé: </ couleur> <couleur = blanc> 10 </ couleur>
<couleur = argent> Bonus de nutrition: </ couleur> <couleur = blanc> 50 </ couleur>

<Couleur = Blanc> Viande déchirée par le corps d'une créature extraterrestre indigène. A été cuit et est sûr de manger. </ Couleur>";
"Backpack","Sac à dos";
"Default","Défaut";
"Alphabetical","Alphabétique";
"43.61 / 80.00 kgs
54.5% Weight Capacity","43,61 / 80,00 kg
Capacité de poids 54.5%";
"Inventory
","Inventaire
";
"[A] Skills","[A] compétences";
"Crafting [D]","Crafting [D]";
"Urchin Shell","Shell d'Urchin";
"Duralumin","Duralumin";
"Titanium","Titane";
"Brass","Laiton";
"Tungsten","Tungstène";
"Bronze","Bronze";
"Wire","Fil";
"Circuit Board","Circuit imprimé";
"Power Cell","Cellule de puissance";
"Diamond Chisel","Ciseau de diamant";
"Magnalium","Magnalium";
"Gunmetal","Gunmétal";
"Lead","Conduire";
"Battery","La batterie";
"Assault Rifle","Fusil d'assaut";
"Talonite","Talonite";
"Mechanized Spanner","Clé mécanisée";
"Crab Antenna","Antenne de crabe";
"Crab Shell","Coquille de crabe";
"Crab Meat","La chair de crabe";
"Crab Talon","Crabe talon";
"Crab Leg Meat","Viande de jambe de crabe";
"Fuel Cell","Pile à combustible";
"Cast Iron","Fonte";
"Ferrochrome","Ferrophrome";
"6al-4v","6AL-4V";
"Nichrome","Nichrome";
"Azurnium","Azurnium";
"Glass","Verre";
"Cobalt","Cobalt";
"Inventory","Inventaire";
"Field Guide","Guide de terrain";
"Skills","Compétences";
"Options","Option";
"Build / Craft [F3]","Construire / Craft [F3]";
"Data Selection
Matrix","Sélection de données
Matrice";
"Aziel","Aziel";
"Env Pressure:","Pression ENV:";
"Env Temp:","Env Temp:";
"Personal Data Unit","Unité de données personnelle";
"Osiris Mission Team","Équipe de mission d'Osiris";
"Systems Data Selection","Sélection de données de systèmes";
"Build 248.517.68200","Construire 248.517.68200";
"Exit Data Matrix [Tab]","Quitter la matrice de données [onglet]";
"Log","Enregistrer";
"Lorem ipsum dolor sit amet, sed ea offendit aliquando mediocritatem. Cum ad quis malorum recusabo, nam ea audiam fuisset incorrupte, et eirmod aperiam pro. Quod detracto eloquentiam an vel, cum mutat argumentum ex. Ex eam partem dolores pertinacia, et alterum maiorum praesent his. Copiosae laboramus assentior te per, te eam feugiat elaboraret. Ut cum quas minim, has quot prodesset assueverit ei, an his utamur tibique.","Lorem Ipsum Dolor Sit Amet Amet, Sed EA offendit Aliquando Mediocritetem. Cum ad quis Malorum Recusabo, Nam EA Audiam Fuisset Incorrupte, et eirmod apériam pro. Quod Detracto Eloquentiam An Vel, Cum Mutat Argumentatum Ex. Ex Eam Partem Dolores Pertinacia, et alterum maiorum praesent le sien. Copiosae Laboramus Assentior Te Per, Te Eam Feutue Elaboraret. UT Cum Qua Minium, a-t-il quot prodesset Assueverit EI, son Utamur Tibique.";
"Craft","Artisanat";
"Utilities","Utilité";
"Defenses","Défenses";
"Structures","Structures";
"Appliances","appareils électroménagers";
"Custom","Personnalisé";
"Crafting","Façade";
"[A] Inventory","[A] Inventaire";
"GPS [D]","GPS [D]";
"Makeshift Patch Tape","Ruban adhésif de fortune";
"Class: ","Classer:";
"Amount: ","Montant:";
"Weight: ","Poids:";
" kgs"," kgs";
"Suit Integrity Bonus: ","Bonus d'intégrité de costume:";
"IMPORTANT! Use masking tape to repair suit punctures. Can be used while equipped or straight from inventory.","IMPORTANT! Utilisez du ruban adhésif pour réparer les perforations. Peut être utilisé tout en étant équipé ou droit de l'inventaire.";
"Makeshift Bandage","Bandage de fortune";
"Health Bonus: ","Bonus de santé:";
"Heals hitpoints. Can be used while equipped or straight from inventory.","Guérit les points de vie. Peut être utilisé tout en étant équipé ou droit de l'inventaire.";
"Makeshift Cloth Bundle","Paquet de tissu de fortune";
"A makeshift bundle of loosely woven fibers.","Un paquet de fortune de fibres tissées lâchées.";
"Bashing Rock","Bashing rock";
"Durability: ","Durabilité:";
"%","%";
"Hardness: ","Dureté:";
"Damage: ","Endommager:";
"0% critical hit","0% Hit critique";
"Useful when you have no other tools.","Utile lorsque vous n'avez pas d'autres outils.";
"Stone Blade","Lame de pierre";
"A sharpened rock that can be used to make a blade.","Une roche aiguisée qui peut être utilisée pour faire une lame.";
"Stone Axe Head","Tête de hache de pierre";
"A sharpened rock that can be used to make an axe","Une roche aiguisée qui peut être utilisée pour faire une hache";
"Stone Shovel Head","Tête de pelleteuse";
"A shaped rock that can be used to make a shovel.","Une roche façonnée qui peut être utilisée pour faire une pelle.";
"Shaped Crab Antenna","Antenne de crabe en forme";
"A shaped fragment of a Crab Antenna, could be fashioned into a crude precision tool.","Un fragment de forme d'une antenne de crabe pourrait être façonné dans un outil de précision brut.";
"Crab Screwdriver","Tournevis de crabe";
"A makeshift multi-tool fashioned from tough pieces of chitinous antenna to allow for repairing, salvaging, and precise tinkering.","Un multi-outil de fortune façonné de morceaux difficiles d'antenne chitueux pour permettre la réparation, la récupération et le bricolage précis.";
"20% critical hit","20% de succès critique";
"A small sharp weapon made from a rock shard.","Une petite arme aiguë faite d'un rochard.";
"Stone Axe","Hache de pierre";
"A slashing tool that is essentially a rock on a stick with a nice handle.","Un outil sphulant essentiellement un rocher sur un bâton avec une belle poignée.";
"Crab Scythe","Crabe faux";
"Melee weapon made from the talon of a crab monster.","Arme de mêlée faite du talon d'un monstre de crabe.";
"Stone Shovel","Pelleté de pierre";
"Tool used to gather Sand for use in crafting.","Outil utilisé pour recueillir du sable à utiliser dans la fabrication de l'artisanat.";
"Soil","Sol";
"Natural crafting agent for growing crops in a Bio Dome.","Agent d'artisanat naturel pour cultiver des cultures dans un dôme bio.";
"Redfern Tree Berry","Redfern Tree Berry";
"Branches","Branches";
"Sand","Le sable";
"Human Waste","Déchets humains";
"Accessing Data","Accès à des données";
"Crude Pipe","Tuyau brut";
"Scrap Hinge","Charnière";
"Sulfur","Soufre";
"Mercury","Mercure";
"Aluminum","Aluminium";
"Iron","Le fer";
"Computer Screen","Écran d'ordinateur";
"Hose","Tuyau";
"White Gold","Or blanc";
"Dymalloy","DYMALLOY";
"Small Radar Dish Kit","Petit kit de plat radar";
"Solar Panel Small Kit","Panneau solaire petit kit";
"Nickel","Nickel";
"Gold","Or";
"Lonsdaleite","Lonsdaleite";
"Copper","Cuivre";
"Zinc","Zinc";
"Plastic","Plastique";
"Beacon Kit","Kit de balise";
"Path Light Kit","Trousse de chemin de chemin";
"Diamond","diamant";
"Zirconium Plate","Plaque de zirconium";
"Zirconium Circuit Board","Circuit de zirconium";
"Land Mine Set","Mine terrestre";
"Cubic Zirconia","Zircone cubique";
"Skeliopod Shell","Skeliopod Shell";
"Skeliopod Tail","Queue de skéliopode";
"Inflatable Dome Kit","Kit de dôme gonflable";
"Zamak","Zamak";
"Lithium","Lithium";
"Cloth Bundle","Paquet de tissu";
"dev console commands","commandes de console de dev";
"Buggie","Buggie";
"_","_";
"Space Utilities","Utilitaires spatiaux";
"Spacecraft","Vaisseau spatial";
"Plutonium","Plutonium";
"Zircaloy","Zircaloy";
"Bug Report / Feedback","Rapport de bogue / commentaires";
"Resume","Reprendre";
"Settings","Paramètres";
"Main Menu","Menu principal";
"Exit Game","Quitter le jeu";
"Menu Options","Options de menu";
"Are you sure you want to quit to main menu? <color=#00FFB7FF>Your current position and profile will be saved.</color>","Êtes-vous sûr de vouloir quitter le menu principal? <couleur = # 00FFB7FF> Votre position actuelle et votre profil seront enregistrés. </ Color>";
"No","Non";
"Yes","Oui";

