"English","中文";
"[A] Inventory","[a]库存";
"GPS [D]","GPS [D]";
"Makeshift Patch Tape","临时补丁胶带";
"Class: ","班级：";
"Amount: ","数量：";
"Weight: ","重量：";
" kgs"," kgs.";
"Suit Integrity Bonus: ","西装诚信奖励：";
"IMPORTANT! Use masking tape to repair suit punctures. Can be used while equipped or straight from inventory.","重要的！使用遮蔽胶带修理套装穿孔。可以在装备或直接从库存中使用。";
"Makeshift Bandage","临时绷带";
"Health Bonus: ","健康奖金：";
"Heals hitpoints. Can be used while equipped or straight from inventory.","治愈Hitpoints。可以在装备或直接从库存中使用。";
"Makeshift Cloth Bundle","临时布束";
"A makeshift bundle of loosely woven fibers.","一根松散编织的纤维的临时束。";
"Bashing Rock","抨击摇滚乐";
"Durability: ","耐久性：";
"%","％";
"Hardness: ","硬度：";
"Damage: ","损害：";
"0% critical hit","0％批判击中";
"Useful when you have no other tools.","当您没有其他工具时很有用。";
"Stone Blade","石刀";
"A sharpened rock that can be used to make a blade.","一种可用于制造刀片的锋利的岩石。";
"Stone Axe Head","石斧头";
"A sharpened rock that can be used to make an axe","一个可用于制造斧头的锋利的岩石";
"Stone Shovel Head","石铲头";
"A shaped rock that can be used to make a shovel.","一种形状的岩石，可用于制作铲子。";
"Shaped Crab Antenna","形状蟹天线";
"A shaped fragment of a Crab Antenna, could be fashioned into a crude precision tool.","蟹天线的形状片段可以塑造成粗精确的工具。";
"Crab Screwdriver","螃蟹螺丝刀";
"A makeshift multi-tool fashioned from tough pieces of chitinous antenna to allow for repairing, salvaging, and precise tinkering.","从棘突的天线的韧带碎片塑造了一个临时多功能，以便修复，挽救和精确修复。";
"20% critical hit","20％的临界击中";
"A small sharp weapon made from a rock shard.","由岩石碎片制成的小尖锐武器。";
"Stone Axe","石斧";
"A slashing tool that is essentially a rock on a stick with a nice handle.","一款削减工具，基本上是一个棍子上的岩石，带有一个漂亮的手柄。";
"Crab Scythe","螃蟹镰刀";
"Melee weapon made from the talon of a crab monster.","由螃蟹怪物的爪子制成的近战武器。";
"Stone Shovel","石铲子";
"Tool used to gather Sand for use in crafting.","用于收集沙子的工具用于制作。";
"Soil","土壤";
"Natural crafting agent for growing crops in a Bio Dome.","生物圆顶中种植庄稼的天然制作剂。";
"Redfern Tree Berry","Rederfern树浆果";
"Branches","分支机构";
"Sand","沙";
"Human Waste","人为垃圾";
"Accessing Data","访问数据";
"Crude Pipe","原油管道";
"Scrap Hinge","废钢铰链";
"Sulfur","硫";
"Mercury","汞";
"Aluminum","铝";
"Iron","铁";
"Computer Screen","电脑屏幕";
"Hose","软管";
"White Gold","白金";
"Dymalloy","Dymalloy.";
"Small Radar Dish Kit","小雷达盘套件";
"Solar Panel Small Kit","太阳能电池板小套件";
"Nickel","镍";
"Gold","金子";
"Lonsdaleite","lonsdaleite.";
"Copper","铜";
"Zinc","锌";
"Plastic","塑料";
"Beacon Kit","灯塔套件";
"Path Light Kit","路径轻型套件";
"Diamond","钻石";
"Zirconium Plate","锆板";
"Zirconium Circuit Board","锆电路板";
"Land Mine Set","陆地矿山套装";
"Cubic Zirconia","立方氧化锆";
"Skeliopod Shell","Skeliopod shell.";
"Skeliopod Tail","Skeliopod tail.";
"Inflatable Dome Kit","充气圆顶套件";
"Zamak","Zamak.";
"Lithium","锂";
"Cloth Bundle","布束";
"dev console commands","dev控制台命令";
"Buggie","Buggie.";
"_","_";
"Space Utilities","空间公用事业";
"Spacecraft","宇宙飞船";
"Plutonium","钚";
"Zircaloy","锆石";
"Bug Report / Feedback","错误报告/反馈";
"Resume","恢复";
"Settings","设置";
"Main Menu","主菜单";
"Exit Game","出口游戏";
"Menu Options","菜单选项";
"Are you sure you want to quit to main menu? <color=#00FFB7FF>Your current position and profile will be saved.</color>","您确定要退出主菜单吗？ <color =＃00ffb7ff>您当前的位置和配置文件将保存。</ color>";
"No","不";
"Yes","是的";

